Id,Level,Assessment,Section,Title,RecommendedState,Mechanism,RegistryKey,RegistryValue,Notes
17.8.1,L1,Automated,17,"Ensure 'Audit Sensitive Privilege Use' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.9.1,L1,Automated,17,"Ensure 'Audit IPsec Driver' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.9.2,L1,Automated,17,"Ensure 'Audit Other System Events' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
17.9.3,L1,Automated,17,"Ensure 'Audit Security State Change' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.9.4,L1,Automated,17,"Ensure 'Audit Security System Extension' is set to include 'Success'","Success",auditpol (section 17),"","",""
17.9.5,L1,Automated,17,"Ensure 'Audit System Integrity' is set to 'Success and Failure'","Success and Failure",auditpol (section 17),"","",""
18.1.1.1,L1,Automated,18,"Ensure 'Prevent enabling lock screen camera' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\Personalization","NoLockScreenCamera","agreed"
18.1.1.2,L1,Automated,18,"Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\Windows\Personalization","NoLockScreenSlideshow","agreed"
18.1.2.2,L1,Automated,18,"Ensure 'Allow users to enable online speech recognition services' is set to 'Disabled'","Disabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Policies\Microsoft\InputPersonalization","AllowInputPersonalization","agreed"
18.4.1,L1,Automated,18,"Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)'","Enabled: Disable driver (recommended)",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Services\mrxsmb10","Start","agreed"
18.4.2,L1,Automated,18,"Ensure 'Configure SMB v1 server' is set to 'Disabled'","Disabled",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters","SMB1","agreed"
18.4.3,L1,Automated,18,"Ensure 'Enable Certificate Padding' is set to 'Enabled'","Enabled",NEEDS REVIEW,"","",""
18.4.4,L1,Automated,18,"Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\kernel","DisableExceptionChainValidation","resolved:raw"
18.4.5,L1,Automated,18,"Ensure 'NetBT NodeType configuration' is set to 'Enabled: P-node (recommended)'","Enabled: P-node (recommended) (point- to-point)",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Services\NetBT\Parameters","NodeType","agreed"
18.5.1,L1,Automated,18,"Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon' is set to 'Disabled'","Disabled",RegistrySettings-Standalone.ps1,"HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","AutoAdminLogon","agreed"
18.5.2,L1,Automated,18,"Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled'","Enabled: Highest protection, source routing is completely disabled",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters","DisableIPSourceRouting","agreed"
18.5.3,L1,Automated,18,"Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled'","Enabled: Highest protection, source routing is completely disabled",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","DisableIPSourceRouting","agreed"
18.5.4,L1,Automated,18,"Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled'","Disabled",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","EnableICMPRedirect","agreed"
18.5.6,L1,Automated,18,"Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled'","Enabled",RegistrySettings-Standalone.ps1,"HKLM\SYSTEM\CurrentControlSet\Services\NetBT\Parameters","NoNameReleaseOnDemand","agreed"
